	txt	labels
15156	numbering and measuring of the goods which are claimed on either side,	0
4414	sirius let out a laugh that was much more like a bark.	1
15178	no; i would rather say discretion.	0
21178	word; but now let me dare to say--that the perfect guardian must be a	0
17703	and they will have to be watched at every age, in order that we may see	0
8282	statesmen have in them something of that idealism which pericles is said	0
5915	you-know-who . . . returned?  preposterous.  come now, dumbledore ...	1
985	ron - harry - his voice sounded shaky - hermione - are you all right?	1
13178	he has long given up the notion that virtue cannot be taught; and he is	0
8760	all are quickly sensitive; and the least hurt to the little finger of	0
9089	great mischief in states, and sometimes also of great good. and thus	0
8884	he has an insatiable curiosity. 'but will curiosity make a philosopher?	0
20451	and further, i said, let us agree that they are lovers of all true	0
6149	fred hesitated, then said, you remember that bet we had with him at the quidditch world cup?  about how ireland would win, but krum would get the snitch?	1
18570	solution not below the level of the previous enquiry.	0
5471	you see that house upon the hillside, potter?  my father lived there.  my mother, a witch who lived here in this village, fell in love with him.  but he abandoned her when she told him what she was. ... he didn't like magic, my father . . .	1
12785	be defined or estimated, and that they constitute only a small part of	0
23769	well, he said, it is not too late to supply the omission.	0
4344	thanks, said sirius, opening it, grabbing a drumstick, sitting down on the cave floor, and tearing off a large chunk with his teeth. i've been living off rats mostly.  can't steal too much food from hogsmeade; i'd draw attention to myself.	1
5071	yes, said dumbledore, prodding the thoughts in the basin again; bertha sank back into them, and they became silvery and opaque once more.  that was bertha as i remember her at school.	1
4059	dunno, said harry dully.  the momentary happiness that had flared inside him at the sight of the owl had died.  come on ...care of magical creatures.	1
19373	useful is the noble and the hurtful is the base.	0
22123	these studies and gave honour to them; then disciples would want to	0
12908	when their minds are already made up and their fortunes irrevocably	0
22378	be assigned, are questions which remain to be considered.	0
10787	of the people, and the numbers 3, 4, 5 might refer respectively to the	0
4819	yes, said harry.  he'd probably blast us through the door if we wake him at the crack of dawn; he'll think we're trying to attack him while he's asleep.  let's give it till break.	1
11227	the fact that reason is able to form a judgment of the lower pleasures,	0
10661	the power of his genius. there is no need to suppose that he drew	0
20607	then you will hardly need, i said, to hear the interpretation of the	0
17943	power of giving order and happiness to the state. we mean our guardians	0
9326	he brings the accusation against himself which might be brought against	0
31	he let himself into the cavernous kitchen.  frank had not entered it for many years; nevertheless, although it was very dark, he remembered where the door into the hall was, and he groped his way towards it, his nostrils full of the smell of decay, ears pricked for any sound of footsteps or voices from overhead.  he reached the hall, which was a little lighter owing to the large mullioned windows on either side of the front door, and started to climb the stairs, blessing the dust that lay thick upon the stone, because it muffled the sound of his feet and stick.	1
607	the tents here had not been bedecked with plant life, but each and every one of them had the same poster attached to it, a poster of a very surly face with heavy black eyebrows. the picture was, of course, moving, but all it did was blink and scowl.	1
3828	hagrid got up, went over to his dresser, opened a drawer, and pulled out a picture of a short wizard with hagrid's crinkled black eyes, beaming as he sat on top of hagrid's shoulder. hagrid was a good seven or eight feet tall, judging by the apple tree beside him, but his face was beardless, young, round, and smooth - he looked hardly older than eleven.	1
9744	sensible are of two kinds; the one class invite or stimulate the mind,	0
2180	i had my birthday last week, said angelina.	1
14480	given by medicine, and to whom, what answer do you think that he would	0
12798	our nature generally, there are previous circumstances which affect	0
24345	but if he were taken back again he would imagine, and truly imagine,	0
1305	i'm sure professor dumbledore will tell you. . . . now, behave, won't you?  won't you, fred?  and you, george?	1
882	that's sick, ron muttered, watching the smallest muggle child, who had begun to spin like a top, sixty feet above the ground, his head flopping limply from side to side. that is really sick. . . .	1
10362	nearly everybody is a pauper who is not a ruler, you will find abundance	0
5788	it was very quick.  my father was placed under the imperius curse by my master. now my father was the one imprisoned, controlled.  my master forced him to go about his business as usual, to act as though nothing was wrong.  and i was released.  i awoke.  i was myself again, alive as i hadn't been in years.	1
2188	i've just realized - i haven't asked hagrid to join s.p.e.w. yet!  she said brightly. wait for me, will you, while i nip upstairs and get the badges?	1
20026	seem not to be aware that you are now bringing upon me the third, which	0
8740	the parents ought to be in the prime of life, which for a man may be	0
20116	and are meant to be followers rather than leaders.	0
1892	it's made him think he's got to come back! said harry, now slamming his fist on the table so that hedwig landed on the back of ron's chair, hooting indignantly.  coming back, because he thinks i'm in trouble!  and there's nothing wrong with me!  and i haven't got anything for you, harry snapped at hedwig, who was clicking her beak expectantly, you'll have to go up to the owlery if you want food.	1
5076	well, i had a dream, said harry.  a dream about lord voldemort.  he was torturing wormtail . . . you know who wormtail-	1
17795	to defend her against attacks, and her citizens they are to regard as	0
495	accio! accio! accio! she shouted, and toffees zoomed from all sorts of unlikely places, including the lining of george's jacket and the turn-ups of fred's jeans.	1
8113	definite character and capable of receiving a definite treatment. he is	0
1843	then george looked over and saw harry watching him.  harry grinned and quickly returned to his predictions - he didn't want george to think he was eavesdropping.  shortly after that, the twins rolled up their parchment, said good night, and went off to bed.	1
335	but far from being reassured, the dursleys became more panic- stricken; aunt petunia was sobbing hysterically, tugging dudley's tongue as though determined to rip it out; dudley appeared to be suffocating under the combined pressure of his mother and his tongue; and uncle vernon, who had lost control completely, seized a china figure from on top of the sideboard and threw it very hard at mr. weasley, who ducked, causing the ornament to shatter in the blasted fireplace.	1
4695	look, said harry angrily, crouch isn't right - he's - he's out of his mind - he says he wants to warn -	1
6166	nope, said george, shaking his head.  the goblins play as dirty as him.  they say you drew with diggory, and bagman was betting you'd win outright.  so bagman had to run for it.  he did run for it right after the third task.	1
20238	and, as knowledge corresponded to being and ignorance of necessity to	0
11165	error. is not the noble that which subjects the beast to the man, or	0
11613	leaving the rest. and a man must take with him an iron sense of truth	0
22152	what do you mean? he asked.	0
899	you watch your mouth! shouted ron. everybody present knew that mudblood was a very offensive term for a witch or wizard of muggle parentage.	1
12934	meant for mankind,' there have certainly been others who to family	0
21995	carry on the study until they see the nature of numbers with the mind	0
7713	unseemliness. sculpture and painting equally with music must conform to	0
4413	did crouch try and get his son off? hermione whispered.	1
13794	adaptation of the vision of er, which is converted by cicero into the	0
17628	the passion or spirit which is in him is tempered like iron, and made	0
2234	the durmstrang party was walking up toward the castle from the lake. viktor krum was walking side by side with karkaroff, and the other durmstrang students were straggling along behind them.  ron watched krum excitedly, but krum did not look around as he reached the front doors a little ahead of hermione, ron, and harry and proceeded through them.	1
6	the police were summoned, and the whole of little hangleton had seethed with shocked curiosity and ill-disguised excitement.  nobody wasted their breath pretending to feel very sad about the riddles, for they had been most unpopular.  elderly mr. and mrs. riddle had been rich, snobbish, and rude, and their grown-up son, tom, had been, if anything, worse.  all the villagers cared about was the identity of their murderer -- for plainly, three apparently healthy people did not all drop dead of natural causes on the same night.	1
2814	harry, you'll be late, the bell's about to ring -	1
11510	grant me also that she has the palm of appearance. in the first place,	0
9308	pervaded by analogies, but he can also tell 'why in some cases a single	0
9740	soldier who cannot count, and indeed he is hardly to be called a man.	0
12576	idealist philosopher converts into the most brutal. for the pair are to	0
15176	no, i would rather say sublime simplicity.	0
12283	or denounced them as unnatural and immoral; men have been pleased to	0
12662	(laws) and aristotle (metaph.) may have been more right than we imagine	0
18116	making them sit; what honour is due to parents; what garments or shoes	0
5403	did anyone tell you the cup was a portkey? he asked.	1
17178	dactylic and anapaestic rhythms, which are in the ratio of 1/1; in the	0
19727	he slight him in any way. for there are two guardians, shame and fear,	0
14298	polemarchus said to me: i perceive, socrates, that you and your	0
1889	for harry had just hit himself in the forehead with his fist, jolting hedwig out of his lap.	1
25588	these are the fates, daughters of necessity, who are clothed in white	0
1310	bagman wanted to tell us what's happening at hogwarts, he said grumpily, sitting down next to harry.  at the world cup, remember?  but my own mother won't say.  wonder what --	1
17990	in the first place, i said, if we have to fight, our side will be	0
11735	his argument derives a colour, we should maintain that the artist may	0
3201	it was the end of the lesson; they had finished their work; the guinea fowl they had been changing into guinea pigs had been shut away in a large cage on professor mcgonagall's desk (neville's still had feathers); they had copied down their homework from the blackboard (describe, with examples, the ways in which transforming spells must be adapted when performing cross-species switches}.  the bell was due to ring at any moment, and harry and ron, who had been having a sword fight with a couple of fred and george's fake wands at the back of the class, looked up, ron holding a tin parrot and harry, a rubber haddock.	1
20460	falsehood, which is their detestation, and they will love the truth.	0
7860	have different natures, and some of them god framed to rule, whom he	0
23648	by payment of taxes, and thus compelled to devote themselves to their	0
6307	anticipated in a dream by him.	0
25997	increasing the number of public domain and licensed works that can be	0
16682	again, truth should be highly valued; if, as we were saying, a lie is	0
3660	oh it's so beautiful! whispered lavender brown.  how did she get it?  they're supposed to be really hard to catch!	1
6734	image; they are only acquainted with artificial systems possessing no	0
18142	i think, he said, that there is no need to impose laws about them on	0
2419	jealous? harry said incredulously.  jealous of what?  he wants to make a prat of himself in front of the whole school, does he?	1
20198	are made out of them, but their mind is incapable of seeing or loving	0
2591	mr. ollivander sent a stream of silver smoke rings across the room from the tip of cedric's wand, pronounced himself satisfied, and then said, mr. krum, if you please.	1
15734	ancestor's sins by sacrifices or charms, with rejoicings and feasts; and	0
23458	rulers, and rulers who are like subjects: these are men after her own	0
5875	headmaster, said madam pomfrey, staring at the great black dog that was sirius, may i ask what - ?	1
20988	begins to mature, let them increase the gymnastics of the soul; but	0
24356	drawn away from pain to the neutral or intermediate state, they firmly	0
3293	and still.  harry hadn't asked cho to the ball.  he and ron were getting very nervous now, though as harry pointed out, ron would look much less stupid than he would without a partner;	1
1800	oh yes, i'm fine, neville gabbled in the same unnaturally high voice.  very interesting dinner - i mean lesson - what's for eating?	1
9051	air and soil, so the best of human characters turn out the worst when	0
4401	no, i'm not, said sirius, taking another great bite of chicken.  crouch used to be head of the department of magical law enforcement, didn't you know?	1
387	that'll change the world, that report will, said ron. front page of the daily prophet, i expect, cauldron leaks.	1
3923	filch started to climb the stairs, his scrawny, dust-colored cat at his heels.  mrs. morris's lamp-like eyes, so very like her masters, were fixed directly upon harry.  he had had occasion before now to wonder whether the invisibility cloak worked on cats. . . . sick with apprehension, he watched filch drawing nearer and nearer in his old flannel dressing gown - he tried desperately to pull his trapped leg free, but it merely sank a few more inches - any second now, filch was going to spot the map or walk right into him -	1
11083	desires only to cease from pain; on the other hand, when he is in an	0
25162	the feeling of sorrow which has gathered strength at the sight of the	0
17231	and therefore, i said, glaucon, musical training is a more potent	0
8718	the greatest care in the mating? 'certainly.' and there is no reason to	0
24740	but then i suppose you will say that what he creates is untrue. and yet	0
1653	ron was shaking with fury.  everyone was staring at him.	1
19898	yes, i said; and when a man dies gloriously in war shall we not say, in	0
15972	natural to him and does it at the right time, and leaves other things.	0
17775	be possible, and at any rate the rest of the city?	0
18861	both together will they not be the best defenders of the whole soul and	0
10969	tyrannical son is a blessing to his father and mother! when there is no	0
19720	not proceed to more dangerous lengths.	0
20555	as a part of education, but as the pursuit of their maturer years, most	0
2470	double potions was always a horrible experience, but these days it was nothing short of torture.  being shut in a dungeon for an hour and a half with snape and the slytherins, all of whom seemed determined to punish harry as much as possible for daring to become school champion, was about the most unpleasant thing harry could imagine.  he had already struggled through one friday's worth, with hermione sitting next to him intoning ignore them, ignore them, ignore them under her breath, and he couldn't see why today should be any better.	1
7104	i was thinking what to answer, when adeimantus joined in the already	0
22610	there you are right, he said, since we have made them to share in all	0
22421	and the individual a friend, of one who, being defective in some part of	0
5529	there was a silence.  then the death eater to the right of wormtail stepped forward, and lucius malfoy's voice spoke from under the mask.	1
19944	spoils taken from kinsmen may be a pollution unless commanded by the god	0
1591	first pus and now this, muttered seamus.	1
16386	then we must not listen to homer or to any other poet who is guilty of	0
13709	this, which he had intended to make more of the ordinary type, he	0
9738	agamemnon could not count his feet (and without number how could he?)	0
7786	and if a man was wounded, they applied the proper remedies, and then let	0
19861	and he who allows himself to be taken prisoner may as well be made a	0
3639	everybody got up late on boxing day.  the gryffindor common room was much quieter than it had been lately, many yawns punctuating the lazy conversations.  hermione's hair was bushy again; she confessed to harry that she had used liberal amounts of sleekeazy's hair potion on it for the ball, but it's way too much bother to do every day, she said matter-of-factly, scratching a purring crookshanks behind the ears.	1
17385	disgraceful, and a great sign of want of good-breeding, that a man	0
8990	whether they or the many shall be rulers in our state. but who can doubt	0
25590	and atropos, who accompany with their voices the harmony of the	0
24649	from want; and upon this principle he will regulate his property and	0
11635	changing into a swan because he would not be born of a woman; there was	0
9688	always there, and that the soul only requires to be turned round towards	0
21540	answering to the highest, understanding to the second, faith (or	0
4544	she had to go to the hospital wing, said ron.	1
12134	coarse strength of a military government was not favourable to purity	0
21592	objects as they pass and requiring him to name them,--will he not be	0
19534	beats quickest, and continue to beget children until he be fifty-five.	0
22215	and learn of them; and they will tell us whether there are any other	0
20498	or again: can he who is harmoniously constituted, who is not covetous or	0
9316	of elementary mathematics, but as the far-off result of the working	0
24572	'then how would a man profit if he received gold and silver on the	0
14486	and what is that which justice gives, and to whom?	0
9773	truth; for numbers are pure abstractions--the true arithmetician	0
24013	of them, will you tell me their respective conditions?	0
976	it's the dark mark, harry! hermione moaned, pulling him as hard as she could. you-know-who's sign!	1
6674	seriously. but in the sixth book his enmity towards the sophists abates;	0
7384	have to unlearn when they grow up; we must therefore have a censorship	0
16390	and that he to whom zeus gives a mixture of the two	0
18664	desire is of cold drink; or, if accompanied by cold, then of warm drink;	0
8864	present constitution of states. i would reduce them to a single one--the	0
15669	honour in a far better style than the just, and therefore he is likely	0
18266	in the state, but about the whole, and considers how a state can best	0
1376	peeves stuck out his tongue, threw the last of his water bombs into the air, and zoomed off up the marble staircase, cackling insanely.	1
21087	the difference between them and every other legislator,--they will have	0
2574	very glad to get away from rita skeeter, harry hurried back into the room.  the other champions were now sitting in chairs near the door, and he sat down quickly next to cedric, hooking up at the velvet-covered table, where four of the five judges were now sitting - professor karkaroff, madame maxime, mr. crouch, and ludo bagman.  rita skeeter settled herself down in a corner; harry saw her slip the parchment out of her bag again, spread it on her knee, suck the end of the quick-quotes quill, and place it once more on the parchment.	1
4348	he was still grinning, but seeing the anxiety in harrys face, said more seriously, i want to be on the spot.  your last letter . . . well, let's just say things are getting fishier.  i've been stealing the paper every time someone throws one out, and by the looks of things, i'm not the only one who's getting worried.	1
18957	what disease and health are in the body.	0
5525	and here we have six missing death eaters . . . three dead in my service. one, too cowardly to return ... he will pay.  one, who i believe has left me forever ... he will be killed, of course . . . and one, who remains my most faithful servant, and who has already reentered my service.	1
90	indeed, yes, said the voice, according to nagini, there is an old muggle standing right outside this room, listening to every word we say.	1
9141	controversy and quips of law;--a perfect man ruling in a perfect state,	0
18081	meaning of the poet; for any musical innovation is full of danger to the	0
19697	intended them to preserve their true character of guardians.	0
3645	harry had not forgotten the hint that cedric had given him, but his less-than-friendly feelings toward cedric just now meant that he was keen not to take his help if he could avoid it. in any case, it seemed to him that if cedric had really wanted to give harry a hand, he would have been a lot more explicit. he, harry, had told cedric exactly what was coming in the first task - and cedric's idea of a fair exchange had been to tell harry to take a bath.  well, he didn't need that sort of rubbishy help - not from someone who kept walking down corridors hand in hand with cho, anyway.  and so the first day of the new term arrived, and harry set off to lessons, weighed down with books, parchment, and quills as usual, but also with the lurking worry of the egg heavy in his stomach, as though he were carrying that around with him too.	1
10465	breeding, anarchy freedom, waste magnificence, impudence courage. such	0
3750	have you offered cedric help? harry said.	1
19541	which at each hymeneal priestesses and priest and the whole city will	0
11247	those who spoke of justice as a cube, of virtue as an art of measuring	0
24215	there cannot be a better, he said.	0
23775	while in the case of others they are stronger, and there are more of	0
18381	find one of these two conditions realized; for the state, as you	0
6422	hands, eternal in the heavens,' is reduced to the proportions of an	0
18327	our soldiers, and educating them in music and gymnastic; we were	0
13668	other has lost the poetical form, but has more of the severity and	0
10729	tyrants there is no place for them in a constitutional state, and that	0
9647	the den; to these they give names, and if we add an echo which returns	0
10808	and 18 are less than 16 and 21. 'waning' (greek) numbers, called also	0
25748	one owns a united states copyright in these works, so the foundation	0
8937	by himself. nothing is more admirable than the hesitation with which he	0
19956	external and foreign; and the first of the two is termed discord, and	0
6346	the nature of justice according to common opinion, and an answer is	0
11902	the poets from his republic. admitting that the arts, which some of us	0
17238	taste, while he praises and rejoices over and receives into his soul the	0
19662	impious and unrighteous person who is not likely to receive much good	0
7801	evil-doers, because he has no pattern of evil in himself; and therefore	0
20822	will not such an one from his early childhood be in all things first	0
4479	oh dear, said hermione as she spotted winky.	1
4032	just forget the egg for a minute, all right?  harry hissed as professor flitwick went whizzing resignedly past them, landing on top of a large cabinet.  i'm trying to tell you about snape and moody. ...	1
6071	dumbledore turned gravely to harry and raised his goblet once more.  nearly everyone in the great hall followed suit.  they murmured his name, as they had murmured cedric's, and drank to him.  but through a gap in the standing figures.  harry saw that malfoy, crabbe, goyle, and many of the other slytherins had remained defiantly in their seats, their goblets untouched.  dumbledore, who after all possessed no magical eye, did not see them.	1
19031	words, 'shall we let him off, or what shall we do?'	0
22920	or rather, as our plan requires, begin with the state.	0
10446	youth who has had a miserly bringing up, gets a taste of the drone's	0
17028	within the limits of a single harmony (for the changes are not great),	0
20062	i want to know whether ideals are ever fully realized in language?	0
4575	it'll die down, though, he told hermione, if we just ignore it. ... people got bored with that stuff she wrote about me last time	1
14876	saying, he being the superior, it is just that the inferior should	0
2832	harry looked at him in disbelief.  he was sure cedric wouldn't have asked that if he had seen the dragons himself.  harry wouldn't have let his worst enemy face those monsters unprepared - well, perhaps malfoy or snape...	1
21128	reason, cannot refuse to come to terms?	0
15010	freedom and mastery than justice; and, as i said at first, justice is	0
14543	and when you want to keep a pruning-hook safe, then justice is useful to	0
10934	reason, which remains clear and luminous, and when he is free from	0
9898	the latter.' then you must train them in dialectic, which will teach	0
6495	as the most important, as they are also the most original, portions of	0
13942	cause,' says hythloday, 'to fear that my words shall not be believed,	0
1296	you're going to have an interesting year, said bill, his eyes twinkling. i might even get time off to come and watch a bit of it.	1
12739	are the more important considerations of mind and character and soul. we	0
14442	quite correct, socrates, if simonides is to be believed, said	0
15749	individuals, but whole cities, that expiations and atonements for sin	0
21830	then this new kind of knowledge must have an additional quality?	0
2223	er - eau de cologne, hagrid muttered.  he was blushing.	1
18601	things apparently the same, we know that they are really not the same,	0
8281	of society the power of ideas remains. and all the higher class of	0
14230	lives, according to their own individual character or temperament. there	0
16596	unattractive to the popular ear, but because the greater the poetical	0
989	we didn't do that! said harry, gesturing up at the skull.	1
24598	they imply a natural weakness of the higher principle; the individual is	0
7375	human watchdogs must be philosophers or lovers of learning which will	0
22911	brought by their joint influence to a middle point, and gives up the	0
10217	the distinction between the mathematician and the dialectician is	0
12209	pythagoras, like the catholic monastic orders, showed the power which	0
19804	have to do when they are grown up; and besides looking on they will	0
16311	first of all, i said, there was that greatest of all lies in high	0
18360	of temperance has more of the nature of harmony and symphony than the	0
15929	then, i said, let us begin and create in idea a state; and yet the true	0
23198	is weakness in the state there is also likely to be illness, of which	0
6857	cases, but also out of the effort to attain them, and is prior as well	0
1491	but they get paid? she said.  they get holidays, don't they?  and - and sick leave, and pensions, and everything?	1
13076	which human nature desires to effect step by step in many ages is likely	0
20518	natures; we must insist that the philosopher should have a good memory?	0
8320	way, but do you follow. my notion is, that our state being perfect will	0
10620	similar kind. but there is obviously no connection between the manner	0
1869	i've been researching it thoroughly in the library.  elf enslavement goes back centuries. i can't believe no one's done anything about it before now.	1
24150	the second proof is derived from the nature of the soul: seeing that	0
7348	fruits, and chestnuts to roast at the fire. ''tis a city of pigs,	0
3318	well, 'bye, said cho, still very red.  she walked away.	1
23694	existence, who admire him and are his companions, while the good hate	0
4725	moody was limping toward them, leaning on his staff, his wand lit.	1
24049	reflecting upon these and similar evils, you held the tyrannical state	0
25602	cycle of life and mortality. your genius will not be allotted to you,	0
588	he picked up the dusty kettle and peered inside it.  we'll need water....	1
4440	rosier and wilkes - they were both killed by aurors the year before voldemort fell. the lestranges - they're a married couple - they're in azkaban.  avery - from what i've heard he wormed his way out of trouble by saying he'd been acting under the imperius curse - he's still at large.  but as far as i know, snape was never even accused of being a death eater - not that that means much.  plenty of them were never caught.  and snape s certainly clever and cunning enough to keep himself out of trouble.	1
15114	how a penalty can be a payment.	0
2602	harry had never shared this piece of information with anybody.  he was very fond of his wand, and as far as he was concerned its relation to voldemort's wand was something it couldn't help - rather as he couldn't help being related to aunt petunia.  however, he really hoped that mr. ollivander wasn't about to tell the room about it.  he had a funny feeling rita skeeter's quick-quotes quill might just explode with excitement if he did.	1
11	always thought he was odd, she told the eagerly listening villagers, after her fourth sherry.  unfriendly, like.  i'm sure if i've offered him a cuppa once, i've offered it a hundred times.  never wanted to mix, he didn't.	1
3366	who is it then?  said ron sharply.	1
3266	because we want to send a letter, you stupid great prat, said george.	1
5763	the dementors are blind.  they sensed one healthy, one dying person entering azkaban.  they sensed one healthy, one dying person leaving it.  my father smuggled me out, disguised as my mother, in case any prisoners were watching through their doors.	1
4114	it's too late, dobby, harry said hopelessly.  i'm not doing the task, i don't know how-	1
12794	may be directed to their prevention or cure. the traces of consumption	0
7011	contemporaries of plato were in a state of transition, and had not yet	0
23260	never giving a thought to the pursuits which make a statesman, and	0
2878	ron looked for a moment as though he was going to laugh; he certainly caught harry's eye for the first time in days, but harry was still feeling too resentful toward ron to care.  he spent the rest of the lesson trying to attract small objects toward him under the table with his wand.  he managed to make a fly zoom straight into his hand, though he wasn't entirely sure that was his prowess at summoning charms - perhaps the fly was just stupid.	1
21523	steps she descends again without the aid of any sensible object, from	0
3445	they went out onto the grounds in the afternoon; the snow was untouched except for the deep channels made by the durmstrang and beauxbatons students on their way up to the castle.  hermione chose to watch harry and the weasleys' snowball fight rather than join in, and at five o'clock said she was going back upstairs to get ready for the ball.	1
11673	poets, who, now that the nature of the soul has been analyzed, are	0
4217	gabrielle!  gabrielle!  is she alive?  is she 'urt?	1
12143	were educated by the state, and sang and danced in public with the men.	0
1164	yeah, but was it, though? said harry, turning to look out of the window at the brightening sky.  it's weird, isn't it?. . . my scar hurts, and three days later the death eaters are on the march, and voldemort's sign's up in the sky again.	1
3450	i still can't work out how you two got the best-looking girls in the year, muttered dean.	1
10501	unwritten; they would have no man call himself their master. such is the	0
16921	imitators; or rather, has not this question been decided by the rule	0
1120	the point? said mr. weasley with a hollow laugh.  harry, that's their idea of fun. half the muggle killings back when you-know-who was in power were done for fun.  i suppose they had a few drinks tonight and couldn't resist reminding us all that lots of them are still at large.  a nice little reunion for them, he finished disgustedly.	1
25295	disease which wastes and reduces and annihilates the body; and all the	0
11607	therefore the whole of education should be directed to the acquisition	0
9291	unseen, nor is he sent by an oracle to convince mankind of ignorance;	0
25635	of private and public station, of strength and weakness, of cleverness	0
2886	that doesn't matter, said hermione firmly. just as long as you're concentrating really, really hard on it, it'll come.  harry, we'd better get some sleep.. . you're going to need it.	1
4806	you don't think they know something about all this, do you?  hermione whispered. about crouch and everything?	1
8992	which are required in a ruler? for they are lovers of the knowledge of	0
5535	his mother left upon him the traces other sacrifice. . . . this is old magic, i should have remembered it, i was foolish to overlook it... but no matter. i can touch him now.	1
8722	unions between their subjects. the good must be paired with the good,	0
4116	what?  said harry. but you don't know what the second task is -	1
15886	we had better adopt a method which i may illustrate thus; suppose that	0
12963	they are too old to be soldiers they are to retire from active life	0
9639	into the den. at a distance there is a fire, and between the fire and	0
12065	in new circumstances. the routine of good actions and good habits is	0
111	he sat up, one hand still on his scar, the other hand reaching out in the darkness for his glasses, which were on the bedside table.  he put them on and his bedroom came into clearer focus, lit by a faint, misty orange light that was filtering through the curtains from the street lamp outside the window.	1
11693	he is the enemy of the poets because poetry was declining in his own	0
19066	yes, but discourse should have a limit.	0
12168	fascinated by the idea, citizens of athens would imitate the	0
13690	and contain more of what may be termed the modern element in plato than	0
10156	so absorbed their minds, that they are unable to see in their true	0
12985	study of finance or law or military tactics, but only of abstract	0
15605	invisible, and never doing any wrong or touching what was another's, he	0
7654	and comedy are to be admitted?' yes, but also something more--is it not	0
22347	attains a conception of the essence of each thing? and he who does not	0
5030	crouch stood up.  he looked down upon the four in front of him, and there was pure hatred in his face.	1
1413	formed their own house, for each	1
20941	overpowered and to lose itself in the new soil, even so this growth	0
21459	now take a line which has been cut into two unequal parts, and divide	0
2880	at two o'clock in the morning, harry stood near the fireplace, surrounded by heaps of objects:  books, quills, several upturned chairs, an old set of gobstones, and neville's toad, trevor.  only in the last hour had harry really got the hang of the summoning charm.	1
7708	should be reflected in them all. this principle of simplicity has to	0
9414	and that they do not really hate those who love them, if they could be	0
2984	you were the best, you know, no competition.  cedric did this weird thing where he transfigured a rock on the ground. . . turned it into a dog. . . he was trying to make the dragon go for the dog instead of him.  well, it was a pretty cool bit of transfiguration, and it sort of worked, because he did get the egg, but he got burned as well - the dragon changed its mind halfway through and decided it would rather have him than the labrador; he only just got away. and that fleur girl tried this sort of charm, i think she was trying to put it into a trance - well, that kind of worked too, it went all sleepy, but then it snored, and this great jet of flame shot out, and her skirt caught fire - she put it out with a bit of water out of her wand.  and krum - you won't believe this, but he didn't even think of flying!  he was probably the best after you, though.  hit it with some sort of spell right in the eye.  only thing is, it went trampling around in agony and squashed half the real eggs - they took marks off for that, he wasn't supposed to do any damage to them.	1
22050	to make more easy the vision of the idea of good; and thither, as i was	0
13343	mathematics in the age of plato comprehended a very small part of that	0
18377	of the worse--in this case he is blamed and is called the slave of self	0
23066	but riches and rich men, or to be ambitious of anything so much as the	0
16095	multitude of callings which are not required by any natural want; such	0
13328	lasting effect, was a measure of national education. and in our own more	0
8018	which has ever existed in the world--still the rule of the best was	0
18929	adjusted nature, then he proceeds to act, if he has to act, whether in	0
13994	of all. to him alone they attribute the beginnings, the increasings, the	0
7267	of the idea of justice, and still less will he be tempted to affirm the	0
11415	the feelings, while he enfeebles the reason; and we refuse to allow him	0
16591	out of the string and falls from the rock, fly shrilling and cling	0
11444	which there are many traces in the writings of the poets, such as the	0
2942	he looked down at the clutch of eggs and spotted the gold one, gleaming against its cement-colored fellows, residing safely between the dragon's front legs.  okay, harry told himself, diversionary tactics. . . let's go. . .	1
12207	work; for the republic is not only a dorian state, but a pythagorean	0
18554	state severally did their own business; and also thought to be temperate	0
25789	paragraph 1.c below.  there are a lot of things you can do with project	0
12466	of mind. he is conscious that women are half the human race, in some	0
9088	class (critias) often become politicians--they are the authors of	0
10033	in the properties of pure mathematics. he will not be disinclined to say	0
386	a report for the department of international magical cooperation, said percy smugly. we're trying to standardize cauldron thickness.  some of these foreign imports are just a shade too thin - leakages have been increasing at a rate of almost three percent a year -	1
4904	harry kicked it, achieving nothing but an excruciating pain in his big toe.	1
13588	progressing in knowledge, improving in the arts, of which the citizens	0
20551	the right. the observation is suggested to me by what is now occurring.	0
25870	     the use of project gutenberg-tm works calculated using the method	0
8967	theology of the modern world, and which occurs here for the first time	0
13436	universal science of plato, is to be found in the hegelian 'succession	0
10256	individuals, which correspond to them. and first, there is the ambitious	0
12252	answers ironically, 'when one son of a king becomes a philosopher'; he	0
23540	because in the oligarchical state they are disqualified and driven from	0
25326	to become more unholy or unrighteous in consequence of these things	0
3077	she'll twist everything he says, harry said under his breath.	1
12565	courage or temper; most often the fitness of the animal for food is the	0
11570	light, in colour like a rainbow, only brighter and clearer. one day	0
10037	in which figures are to be dispensed with; thus in a distant and	0
1525	i am not joking, mr. weasley, he said, though now that you mention it, i did hear an excellent one over the summer about a troll, a hag, and a leprechaun who all go into a bar.	1
16023	the office of salesmen. in well-ordered states they are commonly those	0
1875	hedwig!  he shouted, and he launched himself out of his chair and across the room to pull open the window.	1
25774	1.a.  by reading or using any part of this project gutenberg-tm	0
17751	into pleasures, and prove them more thoroughly than gold is proved in	0
16873	may no more say, 'i don't understand,' i will show how the change might	0
7969	or three passages does he even allude to them (rep.; soph.). he is	0
21731	yes, i said; and there is another thing which is likely, or rather a	0
20834	and noble, and a tall proper youth? will he not be full of boundless	0
6644	slight jest, and carries on the conversation in a lighter tone about	0
3758	well, i must dash, he said. nice seeing you all. good luck, harry.	1
2402	you're doing a really good impression of it, harry snapped.	1
2269	harry potter!  he called again.  harry!  up here, if you please!	1
